Ticker,Company,Price
BMBL,BUMBLE INC. (XNAS:BMBL),$4.42 
SPAI,SAFE PRO GROUP INC. (XNAS:SPAI),$4.42 
XFOR,"X4 PHARMACEUTICALS, INC. (XNAS:XFOR)",$4.42 
ABUS,ARBUTUS BIOPHARMA CORPORATION (XNAS:ABUS),$4.43 
GOGO,GOGO INC. (XNAS:GOGO),$4.43 
IZEA,"IZEA WORLDWIDE, INC (XNAS:IZEA)",$4.45 
ICU,SeaStar Medical Holding Corporation (XNAS:ICU),$4.46 
FNKO,"FUNKO, INC. (XNAS:FNKO)",$4.47 
MQ,"MARQETA, INC. (XNAS:MQ)",$4.47 
TLS,TELOS CORPORATION (XNAS:TLS),$4.49 
KFFB,KENTUCKY FIRST FEDERAL BANCORP (XNAS:KFFB),$4.50 
EFOI,"ENERGY FOCUS, INC. (XNAS:EFOI)",$4.51 
JVA,"COFFEE HOLDING CO., INC. (XNAS:JVA)",$4.51 
SIGA,"SIGA TECHNOLOGIES, INC. (XNAS:SIGA)",$4.51 
OM,"OUTSET MEDICAL, INC. (XNAS:OM)",$4.52 
CAAS,"CHINA AUTOMOTIVE SYSTEMS, INC. (XNAS:CAAS)",$4.53 
ATHE,ALTERITY THERAPEUTICS LIMITED (XNAS:ATHE),$4.54 
LOAN,"MANHATTAN BRIDGE CAPITAL, INC. (XNAS:LOAN)",$4.54 
CAMP,CAMP4 THERAPEUTICS CORPORATION (XNAS:CAMP),$4.56 
LRMR,"LARIMAR THERAPEUTICS, INC. (XNAS:LRMR)",$4.56 
SVRE,SAVERONE 2014 LTD (XNAS:SVRE),$4.56 
ATLX,ATLAS LITHIUM CORPORATION (XNAS:ATLX),$4.60 
FRMM,"FORUM MARKETS, INCORPORATED (XNAS:FRMM)",$4.60 
NXTS,NEXENTIS TECHNOLOGIES INC. (XNAS:NXTS),$4.60 
SSII,"SS INNOVATIONS INTERNATIONAL, INC. (XNAS:SSII)",$4.60 
TLSI,"TRISALUS LIFE SCIENCES, INC. (XNAS:TLSI)",$4.60 
CTMX,"CYTOMX THERAPEUTICS, INC. (XNAS:CTMX)",$4.61 
LFMD,"LIFEMD, INC. (XNAS:LFMD)",$4.62 
BOSC,B.O.S. BETTER ONLINE SOLUTIONS LTD. (XNAS:BOSC),$4.64 
CRCT,"CRICUT, INC. (XNAS:CRCT)",$4.64 
RADX,RADIOPHARM THERANOSTICS LIMITED (XNAS:RADX),$4.64 
CTKB,"CYTEK BIOSCIENCES, INC. (XNAS:CTKB)",$4.65 
GSM,FERROGLOBE PLC (XNAS:GSM),$4.66 
AQMS,"AQUA METALS, INC. (XNAS:AQMS)",$4.67 
RCEL,"AVITA MEDICAL, INC. (XNAS:RCEL)",$4.67 
VFS,VinFast Auto Ltd. (XNAS:VFS),$4.69 
MTEX,"MANNATECH, INCORPORATED (XNAS:MTEX)",$4.70 
ATAI,ATAIBECKLEY INC. (XNAS:ATAI),$4.71 
GEMI,"GEMINI SPACE STATION, INC. (XNAS:GEMI)",$4.71 
PYPD,POLYPID LTD (XNAS:PYPD),$4.71 
ASTL,ALGOMA STEEL GROUP INC. (XNAS:ASTL),$4.73 
OMSE,OMS Energy Technologies Inc. (XNAS:OMSE),$4.73 
SLS,"SELLAS LIFE SCIENCES GROUP, INC. (XNAS:SLS)",$4.78 
VTSI,"VIRTRA, INC. (XNAS:VTSI)",$4.78 
JFIN,JIAYIN GROUP INC. (XNAS:JFIN),$4.79 
LCFY,Locafy Ltd (XNAS:LCFY),$4.79 
DFDV,DEFI DEVELOPMENT CORP. (XNAS:DFDV),$4.80 
TYGO,"TIGO ENERGY, INC. (XNAS:TYGO)",$4.84 
LSAK,"LESAKA TECHNOLOGIES, INC. (XNAS:LSAK)",$4.88 
SUGP,SU Group Holdings Ltd (XNAS:SUGP),$4.88 
CDZI,CADIZ INC. (XNAS:CDZI),$4.90 
LFVN,LIFEVANTAGE CORPORATION (XNAS:LFVN),$4.90 
RENT,"RENT THE RUNWAY, INC. (XNAS:RENT)",$4.91 
TXXS,21Shares 2x Long Sui ETF (XNAS:TXXS),$4.91 
FWDI,"FORWARD INDUSTRIES, INC. (XNAS:FWDI)",$4.92 
UDMY,"UDEMY, INC. (XNAS:UDMY)",$4.92 
MODD,"MODULAR MEDICAL, INC. (XNAS:MODD)",$4.93 
MTYY,GrnShs:YieldBOOST MSTR (XNAS:MTYY),$4.93 
NEUP,NEUPHORIA THERAPEUTICS INC. (XNAS:NEUP),$4.93 
NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC. (XNAS:NTHI)",$4.95 
PPBT,PURPLE BIOTECH LTD (XNAS:PPBT),$4.95 
ACTG,ACACIA RESEARCH CORPORATION (XNAS:ACTG),$4.97 
ASTI,"ASCENT SOLAR TECHNOLOGIES, INC. (XNAS:ASTI)",$4.97 
ARBB,ARB IOT Group Ltd (XNAS:ARBB),$4.99 
BCYC,BICYCLE THERAPEUTICS PLC (XNAS:BCYC),$4.99 
YDDL,One and one Green Technologies. INC (XNAS:YDDL),$4.99 
ADBG,LeverageShs 2X Lg ABDE D (XNAS:ADBG),$5.00 
LSE,"Leishen Energy Holding Co., Ltd. (XNAS:LSE)",$5.00 
SRTA,"STRATA CRITICAL MEDICAL, INC. (XNAS:SRTA)",$5.00 
OKUR,"ONKURE THERAPEUTICS, INC. (XNAS:OKUR)",$5.01 
DOYU,DOUYU INTERNATIONAL HOLDINGS LIMITED (XNAS:DOYU),$5.02 
NAGE,"NIAGEN BIOSCIENCE, INC. (XNAS:NAGE)",$5.02 
PTON,"PELOTON INTERACTIVE, INC. (XNAS:PTON)",$5.02 
DERM,Journey Medical Corp (XNAS:DERM),$5.04 
SSP,THE E.W. SCRIPPS COMPANY (XNAS:SSP),$5.04 
LVO,"LiveOne, Inc (XNAS:LVO)",$5.05 
JBLU,JETBLUE AIRWAYS CORPORATION (XNAS:JBLU),$5.08 
MYGN,"MYRIAD GENETICS, INC. (XNAS:MYGN)",$5.08 
NMTC,NEUROONE MEDICAL TECHNOLOGIES CORPORATION (XNAS:NMTC),$5.11 
APVO,APTEVO THERAPEUTICS INC. (XNAS:APVO),$5.13 
SOPH,SOPHiA GENETICS SA (XNAS:SOPH),$5.13 
SVRA,SAVARA INC. (XNAS:SVRA),$5.14 
ALTO,"ALTO INGREDIENTS, INC. (XNAS:ALTO)",$5.17 
ATCX,ATLAS CRITICAL MINERALS CORPORATION (XNAS:ATCX),$5.17 
AUR,"AURORA INNOVATION, INC. (XNAS:AUR)",$5.17 
ATRA,"ATARA BIOTHERAPEUTICS, INC. (XNAS:ATRA)",$5.18 
EOLS,"EVOLUS, INC. (XNAS:EOLS)",$5.19 
TALK,"Talkspace, Inc. (XNAS:TALK)",$5.19 
TAOX,TAO SYNERGIES INC. (XNAS:TAOX),$5.19 
PAYO,Payoneer Global Inc. (XNAS:PAYO),$5.20 
BULX,GrnShs:2x Long BULL Dly (XNAS:BULX),$5.21 
CPSH,CPS TECHNOLOGIES CORP. (XNAS:CPSH),$5.22 
ODYS,ODYSIGHT.AI INC. (XNAS:ODYS),$5.22 
SND,"SMART SAND, INC. (XNAS:SND)",$5.22 
INTS,"INTENSITY THERAPEUTICS, INC. (XNAS:INTS)",$5.23 
LFCR,"LIFECORE BIOMEDICAL, INC. (XNAS:LFCR)",$5.23 
IVA,Inventiva SA (XNAS:IVA),$5.25 
VALN,Valneva SE (XNAS:VALN),$5.25 
GURE,"GULF RESOURCES, INC. (XNAS:GURE)",$5.26 
VTIX,VIRTUIX HOLDINGS INC. (XNAS:VTIX),$5.26 
RNW,RENEW ENERGY GLOBAL PLC (XNAS:RNW),$5.27 
EMPD,EMPERY DIGITAL INC. (XNAS:EMPD),$5.28 
FTCI,"FTC SOLAR, INC. (XNAS:FTCI)",$5.28 
SHIM,SHIMMICK CORPORATION (XNAS:SHIM),$5.28 
FOSL,"FOSSIL GROUP, INC. (XNAS:FOSL)",$5.31 
CMPX,"COMPASS THERAPEUTICS, INC. (XNAS:CMPX)",$5.32 
SELF,"GLOBAL SELF STORAGE, INC. (XNAS:SELF)",$5.32 
YDES,YD Bio Limited (XNAS:YDES),$5.32 
ADVB,ADVANCED BIOMED INC (XNAS:ADVB),$5.34 
TTGT,"TECHTARGET, INC. (XNAS:TTGT)",$5.37 
KGEI,Kolibri Global Energy Inc. (XNAS:KGEI),$5.38 
BOLT,"BOLT BIOTHERAPEUTICS, INC. (XNAS:BOLT)",$5.39 
FHTX,FOGHORN THERAPEUTICS INC. (XNAS:FHTX),$5.39 
RVSB,"RIVERVIEW BANCORP, INC. (XNAS:RVSB)",$5.39 
CCC,CCC INTELLIGENT SOLUTIONS HOLDINGS INC. (XNAS:CCC),$5.40 
NDRA,ENDRA LIFE SCIENCES INC. (XNAS:NDRA),$5.40 
DCOY,DECOY THERAPEUTICS INC. (XNAS:DCOY),$5.41 
TARA,"PROTARA THERAPEUTICS, INC. (XNAS:TARA)",$5.41 
OPEN,OPENDOOR TECHNOLOGIES INC. (XNAS:OPEN),$5.43 
LNSR,"LENSAR, INC. (XNAS:LNSR)",$5.44 
PRTH,"PRIORITY TECHNOLOGY HOLDINGS, INC. (XNAS:PRTH)",$5.45 
MTLS,Materialise NV (XNAS:MTLS),$5.46 
WEST,WESTROCK COFFEE COMPANY (XNAS:WEST),$5.46 
IRD,"OPUS GENETICS, INC. (XNAS:IRD)",$5.47 
GECC,GREAT ELM CAPITAL CORP. (XNAS:GECC),$5.49 
PLYX,"POLARYX THERAPEUTICS, INC. (XNAS:PLYX)",$5.51 
UCFI,CN HEALTHY FOOD TECH GROUP CORP. (XNAS:UCFI),$5.51 
AARD,"Aardvark Therapeutics, Inc. (XNAS:AARD)",$5.53 
FIP,FTAI INFRASTRUCTURE INC. (XNAS:FIP),$5.53 
GNLN,"GREENLANE HOLDINGS, INC. (XNAS:GNLN)",$5.53 
VOXR,Vox Royalty Corp. (XNAS:VOXR),$5.53 
ATXG,Addentax Group Corp. (XNAS:ATXG),$5.54 
MNTS,MOMENTUS INC. (XNAS:MNTS),$5.55 
NVD,GrnShs:2x Shrt NVDA D (XNAS:NVD),$5.56 
CLIR,CLEARSIGN TECHNOLOGIES CORPORATION (XNAS:CLIR),$5.59 
CSHR,COINSHARES PLC (XNAS:CSHR),$5.60 
NOWL,GrnShs:2x Long NOW Dly (XNAS:NOWL),$5.60 
ASPI,ASP ISOTOPES INC. (XNAS:ASPI),$5.61 
AVIR,"ATEA PHARMACEUTICALS, INC. (XNAS:AVIR)",$5.61 
CING,CINGULATE INC. (XNAS:CING),$5.61 
ABEO,ABEONA THERAPEUTICS INC. (XNAS:ABEO),$5.63 
CD,Chaince Digital Holdings Inc. (XNAS:CD),$5.63 
NCTY,THE9 LIMITED (XNAS:NCTY),$5.63 
AVR,Anteris Technologies Global Corp (XNAS:AVR),$5.69 
BOOM,DMC GLOBAL INC. (XNAS:BOOM),$5.69 
ZURA,Zura Bio Limited (XNAS:ZURA),$5.69 
CRWG,LeverageShs 2X Lg CRWV D (XNAS:CRWG),$5.71 
UONE,"URBAN ONE, INC. (XNAS:UONE)",$5.71 
ROMA,Roma Green Finance Limited (XNAS:ROMA),$5.73 
QNRX,QUOIN PHARMACEUTICALS LTD (XNAS:QNRX),$5.74 
TMC,TMC THE METALS COMPANY INC. (XNAS:TMC),$5.74 
OPRT,OPORTUN FINANCIAL CORPORATION (XNAS:OPRT),$5.75 
RDAC,RISING DRAGON ACQUISITION CORP. (XNAS:RDAC),$5.75 
AEC,Anfield Energy Inc. (XNAS:AEC),$5.76 
FOXX,FOXX DEVELOPMENT HOLDINGS INC. (XNAS:FOXX),$5.77 
HELP,Cybin Inc. (XNAS:HELP),$5.77 
AKTX,"AKARI THERAPEUTICS, PLC (XNAS:AKTX)",$5.79 
MRAL,GrnShs:2x Lng MARA Dly (XNAS:MRAL),$5.81 
CVV,CVD EQUIPMENT CORPORATION (XNAS:CVV),$5.82 
EWCZ,"EUROPEAN WAX CENTER, INC. (XNAS:EWCZ)",$5.82 
VWAV,"VISIONWAVE HOLDINGS, INC. (XNAS:VWAV)",$5.83 
BCAB,"BIOATLA, INC. (XNAS:BCAB)",$5.84 
CVKD,"CADRENAL THERAPEUTICS, INC. (XNAS:CVKD)",$5.86 
FRMI,FERMI INC. (XNAS:FRMI),$5.86 
GDYN,"GRID DYNAMICS HOLDINGS, INC. (XNAS:GDYN)",$5.87 
PXLW,"PIXELWORKS, INC. (XNAS:PXLW)",$5.87 
IMRX,IMMUNEERING CORPORATION (XNAS:IMRX),$5.89 
AMDD,Direxion:Dly AMD Bear 1X (XNAS:AMDD),$5.91 
EPSN,EPSILON ENERGY LTD. (XNAS:EPSN),$5.91 
INV,"INNVENTURE, INC. (XNAS:INV)",$5.91 
CMCT,CREATIVE MEDIA & COMMUNITY TRUST CORPORATION. (XNAS:CMCT),$5.93 
DLHC,DLH HOLDINGS CORP. (XNAS:DLHC),$5.93 
ATOS,"ATOSSA THERAPEUTICS, INC. (XNAS:ATOS)",$5.95 
CV,"CAPSOVISION, INC. (XNAS:CV)",$5.96 
DIBS,"1STDIBS.COM, INC. (XNAS:DIBS)",$5.97 
JL,J-Long Group Limited (XNAS:JL),$5.97 
MLCO,MELCO RESORTS & ENTERTAINMENT LIMITED (XNAS:MLCO),$5.99 
OWLS,OBOOK Holdings Inc. (XNAS:OWLS),$6.00 
TOUR,TUNIU CORPORATION (XNAS:TOUR),$6.00 
CSBR,"CHAMPIONS ONCOLOGY, INC. (XNAS:CSBR)",$6.01 
IMA,"IMAGENEBIO, INC. (XNAS:IMA)",$6.01 
SWIM,Latham Group Inc (XNAS:SWIM),$6.01 
ARDX,"ARDELYX, INC. (XNAS:ARDX)",$6.02 
EUDA,EUDA Health Holdings Limited (XNAS:EUDA),$6.04 
NXPL,NEXTPLAT CORP (XNAS:NXPL),$6.04 
VIRC,VIRCO MFG CORPORATION (XNAS:VIRC),$6.04 
XERS,"XERIS BIOPHARMA HOLDINGS, INC. (XNAS:XERS)",$6.04 
VSTM,"VERASTEM, INC. (XNAS:VSTM)",$6.07 
ROC,Rank One Computing Corporation (XNAS:ROC),$6.09 
ECOR,"ELECTROCORE, INC. (XNAS:ECOR)",$6.12 
SPRC,SCISPARC LTD (XNAS:SPRC),$6.12 
KXIN,Kaixin Holdings (XNAS:KXIN),$6.13 
PASG,"PASSAGE BIO, INC. (XNAS:PASG)",$6.13 
MB,MASTERBEEF GROUP (XNAS:MB),$6.14 
PURR,HYPERLIQUID STRATEGIES INC (XNAS:PURR),$6.14 
GGLS,Direxion:GOOGL Bear 1X (XNAS:GGLS),$6.17 
PSIG,PS International Group Ltd. (XNAS:PSIG),$6.18 
HPK,"HIGHPEAK ENERGY, INC. (XNAS:HPK)",$6.19 
HDSN,"HUDSON TECHNOLOGIES, INC. (XNAS:HDSN)",$6.20 
DWSH,AdvsrShs DW Short (XNAS:DWSH),$6.21 
SPT,"SPROUT SOCIAL, INC. (XNAS:SPT)",$6.21 
BYRN,BYRNA TECHNOLOGIES INC. (XNAS:BYRN),$6.23 
FORR,"FORRESTER RESEARCH, INC. (XNAS:FORR)",$6.23 
MSAI,"MULTISENSOR AI HOLDINGS, INC. (XNAS:MSAI)",$6.24 
IONZ,Defiance DT 2x Sh IONQ (XNAS:IONZ),$6.25 
JRVR,"JAMES RIVER GROUP HOLDINGS, INC. (XNAS:JRVR)",$6.25 
ANNX,"ANNEXON, INC. (XNAS:ANNX)",$6.26 
MIGI,MAWSON INFRASTRUCTURE GROUP INC. (XNAS:MIGI),$6.28 
SGMT,SAGIMET BIOSCIENCES INC. (XNAS:SGMT),$6.28 
MRDN,MERIDIAN HOLDINGS INC. (XNAS:MRDN),$6.29 
GLND,Greenland Energy Company (XNAS:GLND),$6.30 
MIND,"MIND TECHNOLOGY, INC. (XNAS:MIND)",$6.30 
PSNL,"PERSONALIS, INC. (XNAS:PSNL)",$6.31 
MOMO,Hello Group Inc. (XNAS:MOMO),$6.32 
RPD,"RAPID7, INC. (XNAS:RPD)",$6.32 
KLRS,"KALARIS THERAPEUTICS, INC. (XNAS:KLRS)",$6.33 
LXEO,"LEXEO THERAPEUTICS, INC. (XNAS:LXEO)",$6.33 
ATOM,ATOMERA INCORPORATED (XNAS:ATOM),$6.34 
MTC,"MMTEC, INC. (XNAS:MTC)",$6.35 
GTM,ZOOMINFO TECHNOLOGIES INC. (XNAS:GTM),$6.36 
TSLG,LeverageShs 2X Lg TSLA D (XNAS:TSLG),$6.37 
CERT,"CERTARA, INC. (XNAS:CERT)",$6.38 
AIRG,"AIRGAIN, INC. (XNAS:AIRG)",$6.39 
NVA,NOVA MINERALS LIMITED (XNAS:NVA),$6.39 
IMMR,IMMERSION CORPORATION (XNAS:IMMR),$6.40 
LICN,Lichen International Limited (XNAS:LICN),$6.40 
PAYS,"PAYSIGN, INC. (XNAS:PAYS)",$6.40 
RVYL,RYVYL INC (XNAS:RVYL),$6.41 
CRMG,LeverageShs 2X Lg CRM D (XNAS:CRMG),$6.43 
HBNB,Hotel101 Global Holdings Corp. (XNAS:HBNB),$6.43 
NB,NioCorp Developments Ltd. (XNAS:NB),$6.44 
NICM,NICOLA MINING INC. (XNAS:NICM),$6.46 
AVAH,AVEANNA HEALTHCARE HOLDINGS INC. (XNAS:AVAH),$6.47 
CRSR,"CORSAIR GAMING, INC. (XNAS:CRSR)",$6.47 
DMAC,DiaMedica Therapeutics Inc. (XNAS:DMAC),$6.47 
LTRX,"LANTRONIX, INC. (XNAS:LTRX)",$6.47 
SVA,SINOVAC BIOTECH LTD. (XNAS:SVA),$6.47 
STKL,SUNOPTA INC. (XNAS:STKL),$6.48 
TXXD,21Shs 2x Long Dogecoin (XNAS:TXXD),$6.48 
DPRO,DRAGANFLY INC (XNAS:DPRO),$6.49 
SHMD,SCHMID Group NV (XNAS:SHMD),$6.49 
ARKO,ARKO CORP. (XNAS:ARKO),$6.50 
PTLO,Portillos Inc (XNAS:PTLO),$6.50 
SSM,Sono Group NV (XNAS:SSM),$6.50 
ALGS,"ALIGOS THERAPEUTICS, INC. (XNAS:ALGS)",$6.51 
VRCA,VERRICA PHARMACEUTICALS INC. (XNAS:VRCA),$6.51 
ASPS,Altisource Portfolio Solutions SA (XNAS:ASPS),$6.52 
JFB,JFB CONSTRUCTION HOLDINGS (XNAS:JFB),$6.52 
EXPI,"EXP WORLD HOLDINGS, INC. (XNAS:EXPI)",$6.53 
CLNN,Clene Inc. (XNAS:CLNN),$6.57 
ADXN,Addex Therapeutics Ltd (XNAS:ADXN),$6.60 
BLMN,"BLOOMIN' BRANDS, INC. (XNAS:BLMN)",$6.60 
HTZ,"HERTZ GLOBAL HOLDINGS, INC. (XNAS:HTZ)",$6.60 
MOB,MOBILICOM LIMITED (XNAS:MOB),$6.60 
LZ,"LEGALZOOM.COM, INC. (XNAS:LZ)",$6.61 
PTLE,PTL Limited (XNAS:PTLE),$6.61 
QTTB,Q32 BIO INC. (XNAS:QTTB),$6.65 
PAL,"PROFICIENT AUTO LOGISTICS, INC. (XNAS:PAL)",$6.66 
RWAY,RUNWAY GROWTH FINANCE CORP. (XNAS:RWAY),$6.67 
FENC,FENNEC PHARMACEUTICALS INC. (XNAS:FENC),$6.68 
HBIO,"HARVARD BIOSCIENCE, INC. (XNAS:HBIO)",$6.69 
CXDO,"CREXENDO, INC. (XNAS:CXDO)",$6.70 
RUM,RUMBLE INC. (XNAS:RUM),$6.71 
TSHA,"TAYSHA GENE THERAPIES, INC. (XNAS:TSHA)",$6.72 
UG,"UNITED-GUARDIAN, INC. (XNAS:UG)",$6.75 
YI,"111, Inc. (XNAS:YI)",$6.75 
MAGH,Magnitude International Ltd (XNAS:MAGH),$6.76 
TORO,TORO CORP. (XNAS:TORO),$6.76 
XNET,XUNLEI LIMITED (XNAS:XNET),$6.76 
EVLV,"EVOLV TECHNOLOGIES HOLDINGS, INC. (XNAS:EVLV)",$6.78 
LCUT,"LIFETIME BRANDS, INC. (XNAS:LCUT)",$6.78 
OPRX,OPTIMIZERX CORPORATION (XNAS:OPRX),$6.80 
KPLT,"KATAPULT HOLDINGS, INC. (XNAS:KPLT)",$6.81 
SSTI,"SOUNDTHINKING, INC. (XNAS:SSTI)",$6.82 
PDYN,PALLADYNE AI CORP. (XNAS:PDYN),$6.83 
VNDA,VANDA PHARMACEUTICALS INC. (XNAS:VNDA),$6.83 
OPEG,LeverageShs 2X Lg OPEN D (XNAS:OPEG),$6.84 
ASLE,AERSALE CORPORATION (XNAS:ASLE),$6.85 
HOYY,Grnshs:YieldBOOST HOOD (XNAS:HOYY),$6.86 
RDNW,"RideNow Group, Inc (XNAS:RDNW)",$6.88 
PROF,Profound Medical Corp. (XNAS:PROF),$6.89 
RNAC,"CARTESIAN THERAPEUTICS, INC. (XNAS:RNAC)",$6.89 
LCID,"LUCID GROUP, INC. (XNAS:LCID)",$6.91 
LFST,"LIFESTANCE HEALTH GROUP, INC. (XNAS:LFST)",$6.91 
BLSG,LeverageShs 2X Lg BLSH D (XNAS:BLSG),$6.92 
ARKR,ARK RESTAURANTS CORP. (XNAS:ARKR),$6.95 
DHC,DIVERSIFIED HEALTHCARE TRUST (XNAS:DHC),$6.95 
INSE,"INSPIRED ENTERTAINMENT, INC. (XNAS:INSE)",$6.95 
SENS,"Senseonics Holdings, Inc. (XNAS:SENS)",$6.95 
QTI,"QT IMAGING HOLDINGS, INC. (XNAS:QTI)",$6.96 
TASK,"TASKUS, INC. (XNAS:TASK)",$6.96 
WAVE,Eco Wave Power Global AB (publ) (XNAS:WAVE),$6.98 
ACOG,ALPHA COGNITION INC (XNAS:ACOG),$6.99 
MCW,"MISTER CAR WASH, INC. (XNAS:MCW)",$6.99 
ENVX,Enovix Corporation (XNAS:ENVX),$7.00 
FGNX,FG NEXUS INC. (XNAS:FGNX),$7.01 
EDSA,"Edesa Biotech, Inc. (XNAS:EDSA)",$7.03 
STGW,STAGWELL INC. (XNAS:STGW),$7.03 
TIGR,UP FINTECH HOLDING LIMITED (XNAS:TIGR),$7.03 
PLBL,Polibeli Group Ltd (XNAS:PLBL),$7.05 
EPRX,Eupraxia Pharmaceuticals Inc. (XNAS:EPRX),$7.06 
RLMD,"RELMADA THERAPEUTICS, INC. (XNAS:RLMD)",$7.06 
ELWT,"ELAUWIT CONNECTION, INC. (XNAS:ELWT)",$7.08 
GT,THE GOODYEAR TIRE & RUBBER COMPANY (XNAS:GT),$7.09 
AMCI,AMC ROBOTICS CORPORATION (XNAS:AMCI),$7.10 
WEN,THE WENDY'S COMPANY (XNAS:WEN),$7.10 
ACDC,PROFRAC HOLDING CORP. (XNAS:ACDC),$7.11 
PLTD,Direxion:Dly PLTR Br 1X (XNAS:PLTD),$7.12 
AEYE,"AUDIOEYE, INC. (XNAS:AEYE)",$7.13 
MASS,908 DEVICES INC. (XNAS:MASS),$7.13 
JG,AURORA MOBILE LIMITED (XNAS:JG),$7.14 
INGN,"INOGEN, INC. (XNAS:INGN)",$7.15 
AENT,ALLIANCE ENTERTAINMENT HOLDING CORPORATION (XNAS:AENT),$7.18 
PCT,"PURECYCLE TECHNOLOGIES, INC. (XNAS:PCT)",$7.18 
QMCO,QUANTUM CORPORATION (XNAS:QMCO),$7.18 
ALAR,ALARUM TECHNOLOGIES LTD (XNAS:ALAR),$7.19 
KYNB,"KYNTRA BIO, INC. (XNAS:KYNB)",$7.19 
XBTY,Grnshs:YieldBOOST Btc (XNAS:XBTY),$7.23 
SATL,SATELLOGIC INC. (XNAS:SATL),$7.24 
SCLX,SCILEX HOLDING COMPANY (XNAS:SCLX),$7.24 
SEAT,VIVID SEATS INC. (XNAS:SEAT),$7.24 
BULL,Webull Corporation (XNAS:BULL),$7.27 
AMPL,"AMPLITUDE, INC. (XNAS:AMPL)",$7.28 
KZR,"KEZAR LIFE SCIENCES, INC. (XNAS:KZR)",$7.30 
NKLR,Terra Innovatum Global NV (XNAS:NKLR),$7.30 
MLEC,MOOLEC SCIENCE SA (XNAS:MLEC),$7.31 
QS,QUANTUMSCAPE CORPORATION (XNAS:QS),$7.31 
FIEE,"FIEE, INC. (XNAS:FIEE)",$7.32 
PANL,PANGAEA LOGISTICS SOLUTIONS LTD. (XNAS:PANL),$7.32 
GWRS,"GLOBAL WATER RESOURCES, INC. (XNAS:GWRS)",$7.33 
ILPT,INDUSTRIAL LOGISTICS PROPERTIES TRUST (XNAS:ILPT),$7.33 
CADL,"CANDEL THERAPEUTICS, INC. (XNAS:CADL)",$7.34 
EOSE,"EOS ENERGY ENTERPRISES, INC. (XNAS:EOSE)",$7.34 
XWIN,XMAX INC. (XNAS:XWIN),$7.34 
NERV,"MINERVA NEUROSCIENCES, INC. (XNAS:NERV)",$7.35 
MKDW,MKDWELL TECH INC. (XNAS:MKDW),$7.36 
ALLT,ALLOT LTD (XNAS:ALLT),$7.37 
WVE,WAVE LIFE SCIENCES LTD. (XNAS:WVE),$7.38 
RXST,"RXSIGHT, INC. (XNAS:RXST)",$7.40 
DRIO,DARIOHEALTH CORP. (XNAS:DRIO),$7.41 
SCOR,"COMSCORE, INC. (XNAS:SCOR)",$7.41 
AVS,Direxion:Dly AVGO Br 1X (XNAS:AVS),$7.42 
NEXN,NEXXEN INTERNATIONAL LTD (XNAS:NEXN),$7.42 
GYRO,"GYRODYNE, LLC (XNAS:GYRO)",$7.43 
PBYI,"PUMA BIOTECHNOLOGY, INC. (XNAS:PBYI)",$7.43 
MSLE,Satellos Bioscience Inc. (XNAS:MSLE),$7.45 
SBET,"SHARPLINK, INC. (XNAS:SBET)",$7.47 
ANGI,ANGI INC. (XNAS:ANGI),$7.48 
AURA,"AURA BIOSCIENCES, INC. (XNAS:AURA)",$7.49 
CRMD,CORMEDIX INC. (XNAS:CRMD),$7.49 
NEXT,NEXTDECADE CORPORATION (XNAS:NEXT),$7.49 
TZOO,TRAVELZOO (XNAS:TZOO),$7.49 
ZSTK,ZEROSTACK CORP. (XNAS:ZSTK),$7.49 
BRID,BRIDGFORD FOODS CORPORATION (XNAS:BRID),$7.50 
PYPG,LeverageShs 2X Lg PYPL D (XNAS:PYPG),$7.50 
SHLS,"SHOALS TECHNOLOGIES GROUP, INC. (XNAS:SHLS)",$7.50 
WHF,"WHITEHORSE FINANCE, INC. (XNAS:WHF)",$7.51 
PDC,Perpetuals.com Ltd (XNAS:PDC),$7.52 
GSIT,"GSI TECHNOLOGY, INC. (XNAS:GSIT)",$7.55 
SKRE,Tuttle Capital 2X Inv RB (XNAS:SKRE),$7.57 
DMRC,DIGIMARC CORPORATION (XNAS:DMRC),$7.58 
BTM,BITCOIN DEPOT INC (XNAS:BTM),$7.60 
SUNS,"SUNRISE REALTY TRUST, INC. (XNAS:SUNS)",$7.61 
BBCP,"CONCRETE PUMPING HOLDINGS, INC. (XNAS:BBCP)",$7.62 
ELSE,"Electro-Sensors, Inc. (XNAS:ELSE)",$7.62 
PSTV,"PLUS THERAPEUTICS, INC. (XNAS:PSTV)",$7.62 
RILY,"BRC GROUP HOLDINGS, INC. (XNAS:RILY)",$7.62 
SNAG,LeverageShs 2X Lg SNAP D (XNAS:SNAG),$7.63 
CFFN,"CAPITOL FEDERAL FINANCIAL, INC. (XNAS:CFFN)",$7.65 
INNV,INNOVAGE HOLDING CORP. (XNAS:INNV),$7.65 
JTAI,JET.AI INC. (XNAS:JTAI),$7.65 
LFWD,LIFEWARD LTD (XNAS:LFWD),$7.65 
ULBI,ULTRALIFE CORPORATION (XNAS:ULBI),$7.65 
FGI,FGI Industries Ltd. (XNAS:FGI),$7.70 
UNCY,"UNICYCIVE THERAPEUTICS, INC. (XNAS:UNCY)",$7.71 
AZ,A2Z CUST2MATE SOLUTIONS CORP. (XNAS:AZ),$7.72 
MAKO,MAKO MINING CORP. (XNAS:MAKO),$7.72 
